fecha,producto,volumen_diario,transacciones,ticket_promedio,dato_imputado
2022-02-23,DIESEL,2566.111,106,24.20859433962264,0
2022-02-23,EXTRA,912.9055,269,3.3937007434944237,0
2022-02-23,SUPER,30.554499999999997,7,4.364928571428571,0
2022-02-24,DIESEL,3004.958,141,21.311758865248226,0
2022-02-24,EXTRA,1776.14,464,3.827887931034483,0
2022-02-24,SUPER,110.492,21,5.26152380952381,0
2022-02-25,DIESEL,2678.934,141,18.99953191489362,0
2022-02-25,EXTRA,1872.792,483,3.8774161490683228,0
2022-02-25,SUPER,91.355,15,6.090333333333334,0
2022-02-26,DIESEL,2033.831,144,14.123826388888888,0
2022-02-26,EXTRA,1892.902,489,3.8709652351738244,0
2022-02-26,SUPER,130.635,20,6.53175,0
2022-02-27,DIESEL,1430.958,89,16.0781797752809,0
2022-02-27,EXTRA,1456.885,354,4.115494350282486,0
2022-02-27,SUPER,106.864,17,6.286117647058823,0
2022-02-28,DIESEL,2520.226,139,18.131122302158275,0
2022-02-28,EXTRA,1345.67,346,3.889219653179191,0
2022-02-28,SUPER,74.467,14,5.319071428571428,0
2022-03-01,DIESEL,2210.445,98,22.555561224489797,0
2022-03-01,EXTRA,1205.812,333,3.621057057057057,0
2022-03-01,SUPER,92.476,17,5.439764705882353,0
2022-03-02,DIESEL,2893.974,162,17.864037037037036,0
2022-03-02,EXTRA,1826.261,455,4.013760439560439,0
2022-03-02,SUPER,115.651,21,5.507190476190476,0
2022-03-03,DIESEL,2265.457,141,16.067070921985813,0
2022-03-03,EXTRA,1896.838,500,3.793676,0
2022-03-03,SUPER,75.272,14,5.376571428571429,0
2022-03-04,DIESEL,2387.461,159,15.015477987421383,0
2022-03-04,EXTRA,1816.469,460,3.948845652173913,0
2022-03-04,SUPER,122.149,22,5.552227272727273,0
2022-03-05,DIESEL,1804.666,144,12.532402777777778,0
2022-03-05,EXTRA,1840.368,503,3.658783300198807,0
2022-03-05,SUPER,95.339,17,5.608176470588235,0
2022-03-06,DIESEL,2321.118,93,24.95825806451613,0
2022-03-06,EXTRA,1449.733,372,3.8971317204301075,0
2022-03-06,SUPER,93.742,20,4.6871,0
2022-03-07,DIESEL,2695.145,157,17.166528662420383,0
2022-03-07,EXTRA,1709.271,447,3.8238724832214763,0
2022-03-07,SUPER,77.032,13,5.925538461538461,0
2022-03-08,DIESEL,3114.671,166,18.76307831325301,0
2022-03-08,EXTRA,1670.78,444,3.763018018018018,0
2022-03-08,SUPER,21.527,9,2.391888888888889,0
2022-03-09,DIESEL,2757.847,147,18.760863945578233,0
2022-03-09,EXTRA,1769.183,460,3.84605,0
2022-03-09,SUPER,88.994,17,5.234941176470588,0
2022-03-10,DIESEL,3289.687,174,18.90624712643678,0
2022-03-10,EXTRA,1688.9089999999999,460,3.671541304347826,0
2022-03-10,SUPER,96.839,16,6.0524375,0
2022-03-11,DIESEL,2214.951,135,16.407044444444445,0
2022-03-11,EXTRA,1645.871,445,3.6985865168539327,0
2022-03-11,SUPER,149.792,27,5.547851851851852,0
2022-03-12,DIESEL,2973.646,125,23.789168,0
2022-03-12,EXTRA,1639.784,405,4.04884938271605,0
2022-03-12,SUPER,57.3196,12,4.776633333333334,0
2022-03-13,DIESEL,1798.299,92,19.546728260869564,0
2022-03-13,EXTRA,1519.866,386,3.937476683937824,0
2022-03-13,SUPER,51.906,9,5.767333333333333,0
2022-03-14,DIESEL,2479.502,140,17.71072857142857,0
2022-03-14,EXTRA,1862.735,464,4.014515086206896,0
2022-03-14,SUPER,63.334,14,4.5238571428571435,0
2022-03-15,DIESEL,2483.375,155,16.02177419354839,0
2022-03-15,EXTRA,1653.221,434,3.8092649769585254,0
2022-03-15,SUPER,62.636,13,4.818153846153846,0
2022-03-16,DIESEL,3319.771,158,21.011208860759496,0
2022-03-16,EXTRA,1503.11,410,3.666121951219512,0
2022-03-16,SUPER,49.897999999999996,10,4.9898,0
2022-03-17,DIESEL,2692.485,153,17.597941176470588,0
2022-03-17,EXTRA,1574.306,438,3.5943059360730594,0
2022-03-17,SUPER,54.803,12,4.566916666666667,0
2022-03-18,DIESEL,2558.3269999999998,149,17.16997986577181,0
2022-03-18,EXTRA,1639.502,425,3.8576517647058823,0
2022-03-18,SUPER,64.824,14,4.630285714285714,0
2022-03-19,DIESEL,1816.27,114,15.93219298245614,0
2022-03-19,EXTRA,1813.478,480,3.7780791666666667,0
2022-03-19,SUPER,196.211,29,6.765896551724138,0
2022-03-20,DIESEL,1520.571,88,17.279215909090908,0
2022-03-20,EXTRA,1377.583,387,3.5596459948320414,0
2022-03-20,SUPER,132.464,21,6.3078095238095235,0
2022-03-21,DIESEL,2954.396,155,19.06061935483871,0
